filename,section,priority,title,description,alt_text,keywords,source_original
hero_01_main.jpg,hero,primary,Hero — Main,"Kneeling handler and tan/white dog, warm eye contact, open field at golden hour.","Trainer kneeling in a grass field, warmly greeting a happy tan and white dog on leash.","hero, homepage, connection, primary",IMG_0605.JPG
hero_02_alt.jpg,hero,secondary,Hero — Alt Framing,"Same session as hero_01, alternate crop/framing.",Trainer and tan and white dog greeting each other in an open field.,"hero, homepage, connection, alt",IMG_0587.JPG
hero_03_nuzzle.jpg,hero,secondary,Hero — Nuzzle,"Handler nuzzling a grey/tan dog on a park bench, tattoos visible, red striped shirt.",Man affectionately nuzzling a grey and tan dog while sitting on a bench outdoors.,"hero, connection, warmth, alt",IMG_8898.JPG
hero_04_nuzzle_alt.jpg,hero,tertiary,Hero — Nuzzle Alt,Alternate frame of the bench nuzzle moment.,Man and dog sharing an affectionate moment on a park bench.,"hero, connection, warmth, alt",IMG_8889.JPG
about_01_portrait.jpg,about,primary,About — Ryan Portrait,"Genuine smile, dog close to face, no gear, credibility-friendly.","Ryan smiling warmly with a black and white dog close to his shoulder, outdoor field background.","about, ryan, portrait, credibility",IMG_1403-3264.JPG
about_02_portrait_alt.jpg,about,secondary,About — Ryan Portrait Alt,Alternate frame of the same portrait moment.,"Ryan smiling with a black and white dog, outdoor field background.","about, ryan, portrait, alt",IMG_1423-3264.JPG
about_03_smile_alt.jpg,about,tertiary,About — Casual Alt (setting mismatch),Park/waterfall setting — do not caption as the 33-acre property.,Ryan smiling with a grey and tan dog in front of rocks and greenery.,"about, ryan, portrait, caution-setting",IMG_9101.JPG
boardtrain_01_paw.jpg,programs,primary — 4-Week On-Leash Board & Train,Program — On-Leash Paw/Bond,"Hand-and-paw moment, everyday companion-skill energy.","Trainer and dog sharing a paw-shake moment, representing everyday obedience skills.","programs, on-leash, board-and-train, bond",IMG_0391-3264.JPG
boardtrain_02_paw_alt.jpg,programs,secondary — 4-Week On-Leash Board & Train,Program — On-Leash Paw/Bond Alt,Alternate frame of the paw/bond moment.,Trainer and dog sharing a paw-shake moment outdoors.,"programs, on-leash, board-and-train, alt",IMG_0399-3264.JPG
obedience_01_alert_sit.jpg,programs,secondary — 6-Week Off-Leash Board & Train,Program — Off-Leash Alert Sit,"Attentive sit, focus and control read clearly.","Alert dog sitting attentively in a grass field, ears up, focused on handler.","programs, off-leash, obedience, focus",IMG_0487-3264.JPG
obedience_02_portrait.jpg,programs,spare / section header,Program — Attentive Portrait (flex),Flexible spare — Programs section header or off-leash tertiary alt.,"Close portrait of an alert working-breed dog looking upward, purple collar.","programs, flex, header-candidate",IMG_0498-3264.JPG
obedience_03_distance_sit.jpg,programs,primary — 6-Week Off-Leash Board & Train,Program — Off-Leash Distance Sit,"Distance and control read clearly, fits off-leash proofing positioning.","Dog holding a sit at a distance from handler across an open field, demonstrating off-leash control.","programs, off-leash, obedience, distance, primary",IMG_0510-3264.JPG
daycare_01_fetch.jpg,programs,primary — Boarding & Daycare,Program — Daycare Fetch,"Playful energy, matches pup-cups/frozen-kongs/playtime language.","Dog joyfully retrieving a ball while handler tosses it, playful daycare energy.","programs, daycare, boarding, play, primary",IMG_1227-3264.JPG
daycare_02_fetch_alt.jpg,programs,tertiary — Boarding & Daycare,Program — Daycare Fetch Alt,Alternate frame of the fetch sequence.,"Dog retrieving a ball in an open field, playful motion.","programs, daycare, boarding, play, alt",IMG_1248-3264.JPG
daycare_03_relaxed_deck.jpg,programs,secondary — Boarding & Daycare,Program — Daycare Relaxed,"Calmer mood, good for the overnight-comfort side of boarding.","Relaxed dog lying comfortably on a wooden deck, calm boarding atmosphere.","programs, daycare, boarding, calm",IMG_8756.JPG
protection_01_engage.jpg,working,primary,Working — Decoy Engagement,"Decoy/bite-work documentation, French Ring credibility.",Trainer in protective gear working a dog through a controlled bite-sleeve engagement.,"working, protection, french-ring, credibility",IMG_0618-3264.JPG
protection_02_action.jpg,working,secondary,Working — Decoy Action,Dynamic action frame of decoy/bite work.,Dog in mid-action during a controlled protection-sport training exercise.,"working, protection, french-ring, action",IMG_0793-3264.JPG
protection_03_drive.jpg,working,secondary,Working — Drive/Tug,"High-drive tug engagement on line, dynamic motion.",Dog in harness engaging a tug toy at full drive during training.,"working, protection, drive, action",IMG_9549-3264.JPG
protection_04_bridge_bond.jpg,working,transition,Working — Bridge to Bond,Handler embracing dog just off a working session — transition image out of the Working section.,"Handler warmly holding a working dog just after a training session, softer transition moment.","working, transition, bond, bridge",IMG_9433-3264.JPG
